"bioclim","soiltype","component","corr"
8,"botsoil",3,-0.0331253781260271
8,"botsoil",4,0.0890154991202743
8,"botsoil",5,-0.00675641389880658
8,"botsoil",6,-0.0596952962187368
9,"topsoil",1,-0.0644695092022358
9,"topsoil",2,0.0780442612216695
9,"topsoil",3,-0.0112058121841451
9,"topsoil",4,0.106752916528889
9,"topsoil",5,-0.131669675774986
9,"topsoil",6,-0.0751626291627833
9,"botsoil",1,-0.0436963093625022
9,"botsoil",2,0.0709636662340144
9,"botsoil",3,-0.0352011790014905
9,"botsoil",4,0.0332762445235568
9,"botsoil",5,-0.137728627897649
9,"botsoil",6,-0.124565369070225
10,"topsoil",1,-0.209853047193324
10,"topsoil",2,0.281135979990406
10,"topsoil",3,-0.11887330499338
10,"topsoil",4,0.221908609835199
10,"topsoil",5,-0.080366750925124
10,"topsoil",6,-0.0947294648552702
10,"botsoil",1,-0.172772703795204
10,"botsoil",2,0.310900347623211
10,"botsoil",3,-0.151554561851721
10,"botsoil",4,0.133266977804669
10,"botsoil",5,-0.0790076206118109
10,"botsoil",6,-0.090924530681369
11,"topsoil",1,0.0897035348320763
11,"topsoil",2,-0.108711232341483
11,"topsoil",3,0.0507358828917324
11,"topsoil",4,-0.0126882658088995
11,"topsoil",5,-0.0667640931987185
11,"topsoil",6,-0.0192446900538563
11,"botsoil",1,0.0733334814105141
11,"botsoil",2,-0.121127935362231
11,"botsoil",3,0.0675671237505023
11,"botsoil",4,-0.0476565424530683
11,"botsoil",5,-0.0503159306074197
11,"botsoil",6,-0.070002090029947
12,"topsoil",1,0.146728109897863
12,"topsoil",2,-0.192088405399448
12,"topsoil",3,0.0542696885974468
12,"topsoil",4,-0.0223040502972078
12,"topsoil",5,-0.0867848397855289
12,"topsoil",6,-0.104704815627233
12,"botsoil",1,0.0926547105700197
12,"botsoil",2,-0.207693562815287
12,"botsoil",3,0.112179658953689
12,"botsoil",4,0.0132223936487215
12,"botsoil",5,-0.00886248613906831
12,"botsoil",6,-0.103625902802032
13,"topsoil",1,0.1129165431875
13,"topsoil",2,-0.151792328927769
13,"topsoil",3,0.0468681265698951
13,"topsoil",4,0.0255089313373933
13,"topsoil",5,-0.107206064418826
13,"topsoil",6,-0.14010327266813
13,"botsoil",1,0.0608887231492411
13,"botsoil",2,-0.166776988593268
13,"botsoil",3,0.105778437312769
13,"botsoil",4,0.0526529820991453
13,"botsoil",5,-0.0155819568625077
13,"botsoil",6,-0.129696086764958
14,"topsoil",1,0.12131324326492
14,"topsoil",2,-0.172204633273043
14,"topsoil",3,0.0345776920219071
14,"topsoil",4,-0.0422758481967921
14,"topsoil",5,-0.082244318574862
14,"topsoil",6,-0.0737559314255046
14,"botsoil",1,0.0582879342846681
14,"botsoil",2,-0.174507072516979
14,"botsoil",3,0.0931085736200872
14,"botsoil",4,-0.00264139463064125
14,"botsoil",5,-0.024994304380142
14,"botsoil",6,-0.0749693475754887
15,"topsoil",1,-0.11107351884004
15,"topsoil",2,0.120175797090162
15,"topsoil",3,0.0104348507778505
15,"topsoil",4,0.0766159790827643
15,"topsoil",5,0.016278013098689
15,"topsoil",6,-0.0301564306976029
15,"botsoil",1,-0.0830009811351111
15,"botsoil",2,0.116437590888052
15,"botsoil",3,-0.0094802561831481
15,"botsoil",4,0.0667617226512432
15,"botsoil",5,0.0206243045649007
15,"botsoil",6,-0.00901116310878926
16,"topsoil",1,0.117970502481883
16,"topsoil",2,-0.157943381136182
16,"topsoil",3,0.0497694951200715
16,"topsoil",4,0.0161670071227573
16,"topsoil",5,-0.105619416542971
16,"topsoil",6,-0.137751018134298
16,"botsoil",1,0.0637277340573324
16,"botsoil",2,-0.173499246541091
16,"botsoil",3,0.112368845981949
16,"botsoil",4,0.0454455426954927
16,"botsoil",5,-0.0144775745743711
16,"botsoil",6,-0.125959320128284
17,"topsoil",1,0.12213380474161
17,"topsoil",2,-0.172953241027091
17,"topsoil",3,0.0386945824801337
17,"topsoil",4,-0.0370096530065093
17,"topsoil",5,-0.0845350417870426
17,"topsoil",6,-0.0823841597677757
17,"botsoil",1,0.0591720704169029
17,"botsoil",2,-0.175279713618023
17,"botsoil",3,0.0957828215116565
17,"botsoil",4,0.00708580137154698
17,"botsoil",5,-0.0147591657900954
17,"botsoil",6,-0.0846442790316555
18,"topsoil",1,0.152346890531279
18,"topsoil",2,-0.181675628008725
18,"topsoil",3,0.0101634289271676
18,"topsoil",4,-0.0374347910132964
18,"topsoil",5,-0.0522904453724696
18,"topsoil",6,-0.091603600965351
18,"botsoil",1,0.104207762965134
18,"botsoil",2,-0.193468236637965
18,"botsoil",3,0.066618796463942
18,"botsoil",4,0.014029949821999
18,"botsoil",5,0.0255424265913535
18,"botsoil",6,-0.0651337191957298
19,"topsoil",1,0.0810871708924288
19,"topsoil",2,-0.131925879223675
19,"topsoil",3,0.036096861331359
19,"topsoil",4,-0.00218867448887828
19,"topsoil",5,-0.126314877261293
19,"topsoil",6,-0.109074617196642
19,"botsoil",1,0.0195237529934253
19,"botsoil",2,-0.134500134890063
19,"botsoil",3,0.0880343492545769
19,"botsoil",4,0.026771096744698
19,"botsoil",5,-0.0719900510159612
19,"botsoil",6,-0.132130764463863
